gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089268475	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1179	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9283	-81.0717	0.11	1.0E-6					2001-10-21T09:36	21	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1179	304_1179		2001-10-21T09:36:00	CC_BY_NC_4_0					2025-01-31T23:57:36.060Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268474	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4205	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.715	-81.1333	0.11	1.0E-6					2002-10-20T10:52	20	10	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4205	304_4205		2002-10-20T10:52:00	CC_BY_NC_4_0					2025-01-31T23:57:36.060Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268473	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5537	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.21	-80.7833	0.11	1.0E-6					1997-10-19T11:13	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5537	304_5537		1997-10-19T11:13:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268472	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1178	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9233	-81.0983	0.11	1.0E-6					2001-10-21T09:16	21	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1178	304_1178		2001-10-21T09:16:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268471	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5535	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.1817	-80.7867	0.11	1.0E-6					1997-10-19T11:00	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5535	304_5535		1997-10-19T11:00:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268470	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1177	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.885	-81.1033	0.11	1.0E-6					2001-10-21T08:55	21	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1177	304_1177		2001-10-21T08:55:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268469	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4207	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.73	-81.1967	0.11	1.0E-6					2003-04-12T09:11	12	4	2003	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4207	304_4207		2003-04-12T09:11:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268468	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5538	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.215	-80.785	0.11	1.0E-6					1997-10-19T11:21	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5538	304_5538		1997-10-19T11:21:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268467	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4206	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.7117	-81.135	0.11	1.0E-6					2002-10-20T11:13	20	10	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4206	304_4206		2002-10-20T11:13:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268466	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4209	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.7167	-81.19	0.11	1.0E-6					2003-04-12T09:37	12	4	2003	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4209	304_4209		2003-04-12T09:37:00	CC_BY_NC_4_0					2025-01-31T23:57:36.057Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
